ORLANDO TERM,Possible URI,Possible URI #2
poetic drama,http://sparql.cwrc.ca/ontologies/genre#poeticDrama
Poetic Genre,http://sparql.cwrc.ca/ontologies/genre#PoeticGenre
poetry,http://sparql.cwrc.ca/ontologies/genre#poetry
polemic,http://sparql.cwrc.ca/ontologies/genre#polemic
Political Genre,http://sparql.cwrc.ca/ontologies/genre#PoliticalGenre
political Statement,http://sparql.cwrc.ca/ontologies/genre#politicalStatement
political writing,http://sparql.cwrc.ca/ontologies/genre#politicalWriting
POLITICALWRITING,http://sparql.cwrc.ca/ontologies/genre#politicalWriting
popular,http://sparql.cwrc.ca/ontologies/genre#popular
pornography,http://sparql.cwrc.ca/ontologies/genre#pornography
prayer,http://sparql.cwrc.ca/ontologies/genre#prayer
pre-school,http://sparql.cwrc.ca/ontologies/genre#preSchool
prefatory piece,http://sparql.cwrc.ca/ontologies/genre#prefatoryPiece
PREFATORYPIECE,http://sparql.cwrc.ca/ontologies/genre#prefatoryPiece
Print Medium,http://sparql.cwrc.ca/ontologies/genre#PrintMedium
profile of author,http://sparql.cwrc.ca/ontologies/genre#profileOfAuthor
program notes,http://sparql.cwrc.ca/ontologies/genre#programNotes
PROGRAMNOTES,http://sparql.cwrc.ca/ontologies/genre#programNotes
proletarian writing,http://sparql.cwrc.ca/ontologies/genre#proletarianWriting
PROLETARIANWRITING,http://sparql.cwrc.ca/ontologies/genre#proletarianWriting
prologue,http://sparql.cwrc.ca/ontologies/genre#prologue
propaganda,http://sparql.cwrc.ca/ontologies/genre#propaganda
prophecy,http://sparql.cwrc.ca/ontologies/genre#prophecy
prose poem,http://sparql.cwrc.ca/ontologies/genre#prosePoem
proverb,http://sparql.cwrc.ca/ontologies/genre#proverb
Proverb Form,http://sparql.cwrc.ca/ontologies/genre#ProverbForm
psalm,http://sparql.cwrc.ca/ontologies/genre#psalm
psychoanalytical,http://sparql.cwrc.ca/ontologies/genre#psychoanalytical
puppetry,http://sparql.cwrc.ca/ontologies/genre#puppetry
quest narrative,http://sparql.cwrc.ca/ontologies/genre#questNarrative
quiz,http://sparql.cwrc.ca/ontologies/genre#quiz
radio drama,http://sparql.cwrc.ca/ontologies/genre#radioDrama
radio play,http://sparql.cwrc.ca/ontologies/genre#radioDrama
radio script,http://sparql.cwrc.ca/ontologies/genre#radioScript
RADIODRAMA,http://sparql.cwrc.ca/ontologies/genre#radioDrama
realia,http://sparql.cwrc.ca/ontologies/genre#realia
realist,http://sparql.cwrc.ca/ontologies/genre#realist
record,http://sparql.cwrc.ca/ontologies/genre#record
Record Form,http://sparql.cwrc.ca/ontologies/genre#RecordForm
Reference Work Genre,http://sparql.cwrc.ca/ontologies/genre#ReferenceWorkGenre
reflection,http://sparql.cwrc.ca/ontologies/genre#reflection
regional,http://sparql.cwrc.ca/ontologies/genre#regional
religious,http://sparql.cwrc.ca/ontologies/genre#religious
Religious Genre,http://sparql.cwrc.ca/ontologies/genre#ReligiousGenre
research,http://sparql.cwrc.ca/ontologies/genre#research
revenge comedy,http://sparql.cwrc.ca/ontologies/genre#revengeComedy
revenge tragedy,http://sparql.cwrc.ca/ontologies/genre#revengeTragedy
review,http://sparql.cwrc.ca/ontologies/genre#review
revue,http://sparql.cwrc.ca/ontologies/genre#revue
riddle,http://sparql.cwrc.ca/ontologies/genre#riddle
robinsonades,http://sparql.cwrc.ca/ontologies/genre#robinsonades
ROMANCE,http://sparql.cwrc.ca/ontologies/genre#romance
Romance Genre,http://sparql.cwrc.ca/ontologies/genre#RomanceGenre
rural idyll,http://sparql.cwrc.ca/ontologies/genre#ruralIdyll
sage writing,http://sparql.cwrc.ca/ontologies/genre#sageWriting
SAGEWRITING,http://sparql.cwrc.ca/ontologies/genre#sageWriting
satire,http://sparql.cwrc.ca/ontologies/genre#satire
Satirical Genre,http://sparql.cwrc.ca/ontologies/genre#SatiricalGenre
sayings,http://sparql.cwrc.ca/ontologies/genre#ProverbForm
Scholarly Genre,http://sparql.cwrc.ca/ontologies/genre#ScholarlyGenre
scholarly writing,http://sparql.cwrc.ca/ontologies/genre#scholarlyWriting
scholarship,http://sparql.cwrc.ca/ontologies/genre#ScholarlyGenre
school fiction,http://sparql.cwrc.ca/ontologies/genre#schoolFiction
SCHOOLFICTION,http://sparql.cwrc.ca/ontologies/genre#schoolFiction
science,http://sparql.cwrc.ca/ontologies/genre#scientificWriting
science fiction,http://sparql.cwrc.ca/ontologies/genre#scienceFiction
SCIENCEFICTION,http://sparql.cwrc.ca/ontologies/genre#scienceFiction
scientific writing,http://sparql.cwrc.ca/ontologies/genre#scientificWriting
SCIENTIFICWRITING,http://sparql.cwrc.ca/ontologies/genre#scientificWriting
scrapbook,http://sparql.cwrc.ca/ontologies/genre#scrapbook
screenplay,http://sparql.cwrc.ca/ontologies/genre#filmTvScript
script,http://sparql.cwrc.ca/ontologies/genre#script
Script Form,http://sparql.cwrc.ca/ontologies/genre#ScriptForm
scripture,http://sparql.cwrc.ca/ontologies/genre#scripture
sea story,http://sparql.cwrc.ca/ontologies/genre#seaStory
sensation novel,http://sparql.cwrc.ca/ontologies/genre#sensationNovel
sensational,http://sparql.cwrc.ca/ontologies/genre#sensational
SENSATIONNOVEL,http://sparql.cwrc.ca/ontologies/genre#sensationNovel
sensibility,http://sparql.cwrc.ca/ontologies/genre#novelOfSensibility
sentimental,http://sparql.cwrc.ca/ontologies/genre#sentimental
sequel,http://sparql.cwrc.ca/ontologies/genre#sequel
serial,http://sparql.cwrc.ca/ontologies/genre#serial
Serial Form,http://sparql.cwrc.ca/ontologies/genre#SerialForm
serial periodical,http://sparql.cwrc.ca/ontologies/genre#serialPeriodical
serial volume,http://sparql.cwrc.ca/ontologies/genre#serialVolume
Series Form,http://sparql.cwrc.ca/ontologies/genre#SeriesForm
sermon,http://sparql.cwrc.ca/ontologies/genre#sermon
sexual awakening fiction,http://sparql.cwrc.ca/ontologies/genre#sexualAwakeningFiction
SEXUALAWAKENINGFICTION,http://sparql.cwrc.ca/ontologies/genre#sexualAwakeningFiction
sheet music,http://sparql.cwrc.ca/ontologies/genre#MusicalNotationForm
short story,http://sparql.cwrc.ca/ontologies/genre#shortStory
SHORTSTORY,http://sparql.cwrc.ca/ontologies/genre#shortStory
silver-fork novel,http://sparql.cwrc.ca/ontologies/genre#silverForkNovel
SILVERFORKNOVEL,http://sparql.cwrc.ca/ontologies/genre#silverForkNovel
sketch,http://sparql.cwrc.ca/ontologies/genre#sketch
sketch book,http://sparql.cwrc.ca/ontologies/genre#sketchBook
SKETCHBOOK,http://sparql.cwrc.ca/ontologies/genre#sketchBook
slave narrative,http://sparql.cwrc.ca/ontologies/genre#slaveNarrative
SLAVENARRATIVE,http://sparql.cwrc.ca/ontologies/genre#slaveNarrative
slavery,http://sparql.cwrc.ca/ontologies/genre#slaveNarrative
social reform,http://sparql.cwrc.ca/ontologies/genre#socialReform
social science,http://sparql.cwrc.ca/ontologies/genre#socialScience
Social Science Genre,http://sparql.cwrc.ca/ontologies/genre#SocialScienceGenre
SOCIALSCIENCE,http://sparql.cwrc.ca/ontologies/genre#socialScience
"software, multimedia",http://sparql.cwrc.ca/ontologies/genre#multimedia
song,http://sparql.cwrc.ca/ontologies/genre#song
Song Genre,http://sparql.cwrc.ca/ontologies/genre#SongGenre
sonnet,http://sparql.cwrc.ca/ontologies/genre#sonnet
sound recording - musical,http://sparql.cwrc.ca/ontologies/genre#soundRecordingMusical
sound recording – nonmusical,http://sparql.cwrc.ca/ontologies/genre#soundRecordingNonmusical
Sound Recording Medium,http://sparql.cwrc.ca/ontologies/genre#SoundRecordingMedium
speech,http://sparql.cwrc.ca/ontologies/genre#speech
STAGEREVIEW,http://sparql.cwrc.ca/ontologies/genre#criticism
Standalone Work/Book,http://sparql.cwrc.ca/ontologies/genre#StandaloneWork
stencil,http://sparql.cwrc.ca/ontologies/genre#mimeograph
Still Image Medium,http://sparql.cwrc.ca/ontologies/genre#StillImageMedium
suffragist,http://sparql.cwrc.ca/ontologies/genre#suffragist
summary,http://sparql.cwrc.ca/ontologies/genre#summary
sunday school story,http://sparql.cwrc.ca/ontologies/genre#sundaySchoolStory
survey,http://sparql.cwrc.ca/ontologies/genre#survey
television,http://sparql.cwrc.ca/ontologies/genre#television
television broadcast,http://sparql.cwrc.ca/ontologies/genre#television
television broadcasting,http://sparql.cwrc.ca/ontologies/genre#television
temperance,http://sparql.cwrc.ca/ontologies/genre#temperance
testimony,http://sparql.cwrc.ca/ontologies/genre#testimony
textbook,http://sparql.cwrc.ca/ontologies/genre#textbook
Textual Medium,http://sparql.cwrc.ca/ontologies/genre#TextualMedium
The CWRC Literary Genre Ontology,http://sparql.cwrc.ca/ontologies/genre#datasetdefinition
theatre for young audiences,http://sparql.cwrc.ca/ontologies/genre#theatreForYoungAudiences
theatre of cruelty,http://sparql.cwrc.ca/ontologies/genre#theatreOfCruelty
theatre of the absurd,http://sparql.cwrc.ca/ontologies/genre#theatreOfTheAbsurd
THEATREOFCRUELTY,http://sparql.cwrc.ca/ontologies/genre#theatreOfCruelty
THEATREOFTHEABSURD,http://sparql.cwrc.ca/ontologies/genre#theatreOfTheAbsurd
Thematic Genre,http://sparql.cwrc.ca/ontologies/genre#ThematicGenre
thematic writing,http://sparql.cwrc.ca/ontologies/genre#thematicWriting
theology,http://sparql.cwrc.ca/ontologies/genre#theology
thesaurus,http://sparql.cwrc.ca/ontologies/genre#thesaurus
thesis,http://sparql.cwrc.ca/ontologies/genre#dissertation
Three Dimensional Medium,http://sparql.cwrc.ca/ontologies/genre#ThreeDimensionalMedium
three dimensional object,http://sparql.cwrc.ca/ontologies/genre#threeDimensionalObject
thriller,http://sparql.cwrc.ca/ontologies/genre#thriller
topographical poetry,http://sparql.cwrc.ca/ontologies/genre#topographicalPoetry
TOPOGRAPHICALPOETRY,http://sparql.cwrc.ca/ontologies/genre#topographicalPoetry
tract pamphlet,http://sparql.cwrc.ca/ontologies/genre#tractPamphlet
TRACTPAMPHLET,http://sparql.cwrc.ca/ontologies/genre#tractPamphlet
tragedy,http://sparql.cwrc.ca/ontologies/genre#tragedy
tragicomedy,http://sparql.cwrc.ca/ontologies/genre#tragicomedy
translation,http://sparql.cwrc.ca/ontologies/genre#translation
travel writing,http://sparql.cwrc.ca/ontologies/genre#travel
TRAVELWRITING,http://sparql.cwrc.ca/ontologies/genre#travel
treatise,http://sparql.cwrc.ca/ontologies/genre#treatise
tv script,http://sparql.cwrc.ca/ontologies/genre#filmTvScript
typescript,http://sparql.cwrc.ca/ontologies/genre#manuscript
unpublished,http://sparql.cwrc.ca/ontologies/genre#Unpublished
unpublished interview,http://sparql.cwrc.ca/ontologies/genre#interview
unpublished manuscript,http://sparql.cwrc.ca/ontologies/genre#manuscript
unpublished palyscript,http://sparql.cwrc.ca/ontologies/genre#playScript
unpublished typescript,http://sparql.cwrc.ca/ontologies/genre#manuscript
utopia,http://sparql.cwrc.ca/ontologies/genre#utopia
verse novel,http://sparql.cwrc.ca/ontologies/genre#verseNovel
verse poem,http://sparql.cwrc.ca/ontologies/genre#versePoem
VERSENOVEL,http://sparql.cwrc.ca/ontologies/genre#verseNovel
video,http://sparql.cwrc.ca/ontologies/genre#videoRecording
video game,http://sparql.cwrc.ca/ontologies/genre#videoGame
video recording,http://sparql.cwrc.ca/ontologies/genre#videoRecording
videorecording,http://sparql.cwrc.ca/ontologies/genre#videoRecording
vignette,http://sparql.cwrc.ca/ontologies/genre#vignette
villanelle,http://sparql.cwrc.ca/ontologies/genre#villanelle
visual art,http://sparql.cwrc.ca/ontologies/genre#visualArt
Visual Art Medium,http://sparql.cwrc.ca/ontologies/genre#VisualArtMedium
Visual Medium,http://sparql.cwrc.ca/ontologies/genre#VisualMedium
voice recording,http://sparql.cwrc.ca/ontologies/genre#soundRecordingNonmusical
war,http://sparql.cwrc.ca/ontologies/genre#war
web site,http://sparql.cwrc.ca/ontologies/genre#website
webpage,http://sparql.cwrc.ca/ontologies/genre#webpage
website,http://sparql.cwrc.ca/ontologies/genre#website
western,http://sparql.cwrc.ca/ontologies/genre#western
young adult writing,http://sparql.cwrc.ca/ontologies/genre#youngAdultWriting
YOUNGADULTWRITING,http://sparql.cwrc.ca/ontologies/genre#youngAdultWriting
aphorism,http://sparql.cwrc.ca/ontologies/genre#aphorism
folklore,http://sparql.cwrc.ca/ontologies/genre#folkTale
history and criticism,http://sparql.cwrc.ca/ontologies/genre#criticism
NATIONALISTFICTION,http://sparql.cwrc.ca/ontologies/genre#nationalist
non-fiction,http://sparql.cwrc.ca/ontologies/genre#nonFiction
